Holdings details

FTSE Emerging Markets ETF (VWO)


Equity,as of 08/31/2026

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,BWFGD63,Tech Mahindra Ltd,TECHM,0.09%,IT Consulting & Other Services,IN,---,"$153,536,009.01","8,994,744"
,6410562,Harmony Gold Mining Co Ltd,HAR,0.09%,Gold,ZA,---,"$151,254,627.82","7,713,207"
,BGHH0L6,WuXi AppTec Co Ltd,2359,0.09%,Life Sciences Tools & Services,HK,---,"$150,658,966.61","6,255,919"
,6726548,TVS Motor Co Ltd,TVSL,0.08%,Motorcycle Manufacturers,IN,---,"$147,527,630.45","3,240,602"
,BYYZ7D0,InterGlobe Aviation Ltd,INDIGO,0.08%,Passenger Airlines,IN,---,"$147,055,094.54","2,681,306"
,6651048,Bank Mandiri Persero Tbk PT,BMRI,0.08%,Diversified Banks,ID,---,"$144,892,251.19","607,213,250"
,BSNRFT7,Tata Motors Ltd /new,TMCV,0.08%,Construction Machinery & Heavy Transportation Equipment,IN,---,"$143,816,513.29","29,126,699"
,2823885,Arca Continental SAB de CV,AC*,0.08%,Soft Drinks & Non-alcoholic Beverages,MX,---,"$143,675,470.63","12,536,439"
,B4Z9XF5,Coal India Ltd,COAL,0.08%,Coal & Consumable Fuels,IN,---,"$142,917,179.32","33,884,183"
,B4TPSL0,Alchip Technologies Ltd,3661,0.08%,Semiconductors,TW,---,"$142,778,515.90","1,112,058"
,2448200,Industrias Penoles SAB de CV,PE&OLES*,0.08%,Precious Metals & Minerals,MX,---,"$141,844,296.28","2,667,341"
,B39NWT3,Alinma Bank,ALINMA,0.08%,Diversified Banks,SA,---,"$141,448,095.96","20,794,052"
,2718301,SOC QUIMICA Y MINERA CHILE-B,SQM/B,0.08%,Specialty Chemicals,CL,---,"$140,021,081.50","1,719,551"
,BMGWW30,Nongfu Spring Co Ltd,9633,0.08%,Soft Drinks & Non-alcoholic Beverages,HK,---,"$138,775,537.78","25,399,400"
