Holdings details

FTSE Developed Markets ETF (VEA)


Equity,as of 08/31/2026

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,BJMY6G0,TC Energy Corp,TRP,0.19%,Oil & Gas Storage & Transportation,CA,---,"$639,095,581.85","10,206,897"
,6267359,Hong Kong Exchanges & Clearing Ltd,388,0.19%,Financial Exchanges & Data,HK,---,"$630,911,680.44","11,669,199"
,6948836,Wesfarmers Ltd,WES,0.19%,Broadline Retail,AU,---,"$628,602,621.01","11,060,679"
,6572707,Panasonic Holdings Corp,6752,0.19%,Consumer Electronics,JP,---,"$628,173,058.77","22,527,904"
,B2B0DG9,RELX PLC,REL,0.19%,Research & Consulting Services,GB,---,"$624,837,841.21","17,414,048"
,B1XH026,Vinci SA,DG,0.19%,Construction & Engineering,FR,---,"$624,299,543.78","4,761,711"
,BNHKYX4,Argenx SE,ARGX,0.19%,Biotechnology,BE,---,"$623,368,114.07","607,256"
,B28YTC2,Macquarie Group Ltd,MQG,0.19%,Diversified Capital Markets,AU,---,"$613,992,423.88","3,423,855"
,5253973,Hermes International SCA,RMS,0.19%,"Apparel, Accessories & Luxury Goods",FR,---,"$612,456,949.20","334,785"
,BTK05J6,Anglo American PLC,AAL,0.19%,Diversified Metals & Mining,GB,---,"$609,647,244.06","10,753,967"
,7021963,Deutsche Boerse AG,DB1,0.18%,Financial Exchanges & Data,DE,---,"$597,227,786.76","1,787,203"
,4617859,DHL AG,DHL,0.18%,Air Freight & Logistics,DE,---,"$586,821,329.79","9,034,356"
,6185495,CSL Ltd,CSL,0.18%,Biotechnology,AU,---,"$583,234,375.74","4,761,489"
,B71JBK1,L'Oreal SA,---,0.18%,Personal Care Products,FR,---,"$583,146,969.12","1,309,688"
,2077303,National Bank of Canada,NA,0.18%,Diversified Banks,CA,---,"$580,411,024.65","3,782,483"
,5334588,Rheinmetall AG,RHM,0.18%,Aerospace & Defense,DE,---,"$578,083,789.93","449,022"
,6639550,Nintendo Co Ltd,7974,0.17%,Interactive Home Entertainment,JP,---,"$572,530,298.71","10,156,890"
,6771689,Samsung Electro-Mechanics Co Ltd,009150,0.17%,Electronic Components,KR,---,"$569,085,797.63","539,610"
,6870445,Takeda Pharmaceutical Co Ltd,4502,0.17%,Pharmaceuticals,JP,---,"$560,315,460.85","15,498,732"
,B0SWJX3,London Stock Exchange Group PLC,LSEG,0.17%,Financial Exchanges & Data,GB,---,"$558,957,410.86","4,611,537"
,5966516,Societe Generale SA,GLE,0.17%,Diversified Banks,FR,---,"$555,945,548.84","6,599,842"
,B283W97,CaixaBank SA,CABK,0.17%,Diversified Banks,ES,---,"$555,033,959.62","36,400,798"
,B1QH830,Volvo AB,VOLVB,0.17%,Construction Machinery & Heavy Transportation Equipment,SE,---,"$553,996,127.55","15,358,830"
,6356707,Fujikura Ltd,5803,0.17%,Electrical Components & Equipment,JP,---,"$549,383,183.82","16,113,096"
,5069211,Bayer AG,BAYN,0.17%,Pharmaceuticals,DE,---,"$548,796,017.38","9,641,956"
,BLDBN41,Atlas Copco AB,ATCOA,0.16%,Industrial Machinery & Supplies & Components,SE,---,"$537,174,736.21","25,029,193"
,5086577,BASF SE,BAS,0.16%,Diversified Chemicals,DE,---,"$532,837,255.25","8,678,845"
,7212477,EssilorLuxottica SA,EL,0.16%,Health Care Supplies,FR,---,"$530,709,273.69","2,859,770"
,BJDS7L3,Prosus NV,PRX,0.16%,Broadline Retail,NL,---,"$527,843,631.43","11,849,356"
,6248990,KDDI Corp,9433,0.16%,Wireless Telecommunication Services,JP,---,"$517,210,671.76","27,998,526"
,0408284,Standard Chartered PLC,STAN,0.15%,Diversified Banks,GB,---,"$509,034,805.54","17,527,436"
,BD6K457,Compass Group PLC,CPG,0.15%,Restaurants,GB,---,"$507,116,198.33","16,663,954"
,6441506,Hoya Corp,7741,0.15%,Health Care Supplies,JP,---,"$504,003,049.40","3,291,428"
,0237400,Diageo PLC,DGE,0.15%,Distillers & Vintners,GB,---,"$501,925,302.38","21,832,464"
,B545MG5,Swiss Re AG,SREN,0.15%,Reinsurance,CH,---,"$501,526,245.33","2,891,938"
,5902941,Nokia Oyj,NOKIA,0.15%,Communications Equipment,FI,---,"$499,403,771.32","49,103,043"
,B29NF31,Franco-Nevada Corp,FNV,0.15%,Gold,CA,---,"$494,630,739.02","1,880,286"
,7145056,Eni SpA,ENI,0.15%,Integrated Oil & Gas,IT,---,"$493,730,850.78","18,061,933"
,7333378,Lonza Group AG,LONN,0.15%,Life Sciences Tools & Services,CH,---,"$488,510,300.60","685,480"
,BD6G507,Ferrari NV,RACE,0.15%,Automobile Manufacturers,IT,---,"$485,033,617.23","1,145,645"
,4056719,Generali,G,0.15%,Multi-line Insurance,IT,---,"$483,859,156.77","9,353,226"
,4768962,RWE AG,RWE,0.14%,Independent Power Producers & Energy Traders,DE,---,"$471,205,626.23","6,927,754"
,6474535,Japan Tobacco Inc,2914,0.14%,Tobacco,JP,---,"$463,826,100.66","10,724,496"
,B1Y9TB3,Danone SA,BN,0.14%,Packaged Foods & Meats,FR,---,"$460,209,589.67","6,171,188"
,6220103,Rio Tinto Ltd,RIO,0.14%,Diversified Metals & Mining,AU,---,"$453,588,709.51","3,629,081"
,4942904,E.ON SE,EOAN,0.14%,Multi-Utilities,DE,---,"$449,536,962.90","21,769,820"
,6858946,Sumitomo Corp,8053,0.14%,Trading Companies & Distributors,JP,---,"$446,450,092.88","39,994,012"
